id,Артикул,Имя,Краткое описание,Описание,Базовая цена,Категории,Изображения
11,53205-6800010,Сиденье водителя КАМАЗ,"Сиденье водителя КАМАЗ-5320,53205 в сбореАртикул: 53205-6800010Применяется для кузова и сиденья в моделях КАМАЗШирина, м - 0.62Высота, м - 0.53Длина, м - 1.09Вес, кг - 29.58","Сиденье водителя КАМАЗ-5320,53205 в сборе Артикул: 53205-6800010 Производитель: КАМАЗ Применяется для кузова и сиденья в моделях КАМАЗ Ширина, м - 0.62 Высота, м - 0.53 Длина, м - 1.09 Вес, кг - 29.58",,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/sidene.jpg
12,740-1307010-11,Насос водяной УРАЛ,Артикул:740/4320-1307010-11Доп. артикул 2: 740-1307010-11Размеры: (Д х Ш х В): 0.264 x 0.214 x 0.232 мВес: 8.51 кг,"Насос водяной УРАЛНасос водяной ЗИЛ,УРАЛ-4320 (с двигателем КАМАЗ) (ПАО КАМАЗ). Применяется в системе охлаждения автомобиля. Насос водяной предназначен для того, чтобы организовать циркуляцию антифриза или иной охлаждающей жидкости в системе охлаждения. Водяной насос находится возле устройства радиатора и при пуске двигателя приводится в действие при помощи гидрораспределительного ремня. Артикул - 740/4320-1307010-11 Дополнительный артикул — 740-1307010-11 Применяется для автомобилей ЗИЛ 133ГЯ, УРАЛ-4320, УРАЛ-43202, УРАЛ-5557, УРАЛ-4320 Характеристики: Ширина, м 0.24 Высота, м 0.24 Длина, м 0.17 Вес, кг 9.8Где применяетсяУралАЗ / УРАЛ-4320 	Водяной насос / Насос водяной [740-1307010-11]",3000,4,https://deshevle-tut.ru/wp-content/uploads/2019/07/Pompa-ural.jpg
13,6520-3407200,Насос ГУР КамАЗ-6520 (г.Елец),Артикул: 6520-3407200Размеры (Д х Ш х В): 0.27 x 0.11 x 0.22 мВес: 8.4 кг,Артикул: 6520-3407200Размеры (Д х Ш х В): 0.27 x 0.11 x 0.22 мВес: 8.4 кг,3500,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/Nasos-gura-ELETS.jpg
14,740.50-1307010,Насос водяной ЕВРО-2 КамАЗ,Артикул: 740.50-1307010Размеры (Д х Ш х В): 0.188 x 0.171 x 0.167 мВес: 7.4 кг,Насос водяной ЕВРО-2Артикул: 740.50-1307010Размеры (Д х Ш х В): 0.188 x 0.171 x 0.167 мВес: 7.4 кг,2200,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/Nasos-vodyanoj-evro-2.jpg
15,154-1771010,Механизм переключение делителя нового образца,Артикул: 154-1771010Доп. артикул 2: 15.1771010Размеры (Д х Ш х В): 0.385 x 0.29 x 0.13 мВес: 3.53 кг,"Механизм переключения передач КАМАЗАртикул: 154-1771010 Доп. артикул:15.1771010Альтернативные описания: Механизм КАМАЗ переключения делителя с воздухораспределителем Применяется для трансмиссии и коробки передач в моделях КАМАЗ-5315, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511 с КПП 152, 154 с 2007г.Взаимозаменяем с МПДП- 1771010 ОАО ""Саратовдизельаппарат"". Ширина, м - 0.245 Высота, м - 0.1 Длина, м - 0.27 Вес, кг – 3.3",3500,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/Myasorubka-2.jpg
16,5320-2506110,Картер межосевого дифференциала новый,Картер межосевого дифференциала КамАЗ (МОДа)Артикул: 5320-2506110,Картер межосевого дифференциала КамАЗ (МОДа)Артикул: 5320-2506110,5100,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/karter-moda.jpg
17,5320-3509015-10,Компрессор 2-цилиндровый КАМАЗ (высокопроизводительный)270 л.,"Номинальный диаметр цилиндра, мм - 60Ход поршня, мм - 38Номинальный рабочий объем, см3 - 214Частота вращения вала, мин-1: 	Номинальное - 2000 	Максимальное - 2500Производительность, л/мин - 275 (при частоте вращения коленчатого вала 2000 об/мин и противодавлении 700 кПа)Потребляемая мощность, кВт - 2,45Вес, кг - 14,5","Компрессор высокой производительности КамАЗПневмокомпрессор 5320-3509015-10 поршневого типа, двухцилиндровый повышенной производительности. Привод компрессора шестеренный от распределительных шестерён. Посадочные размеры и применяемость соответствуют компрессору 5320-3509015. Охлаждение головки от системы охлаждения двигателя, масло подаётся из смазочной системы.Применение: 	Автомобили КамАЗ 5320, 53212, 5410, 54112, 5511, 55102; 	Базовый двигатель: 740,10 и другие модификации.Характеристики:Номинальный диаметр цилиндра, мм - 60Ход поршня, мм - 38Номинальный рабочий объем, см3 - 214Частота вращения вала, мин-1: 	Номинальное - 2000 	Максимальное - 2500Производительность, л/мин - 275 (при частоте вращения коленчатого вала 2000 об/мин и противодавлении 700 кПа)Потребляемая мощность, кВт - 2,45Вес, кг - 14,5",7000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/kompressor-vysokoproizvoditelnaya.jpg
18,53205-3509015,Компрессор 1-цилиндровый КАМАЗ,"Номинальный диаметр цилиндра - 92 ммНоминальный ход поршня - 46 ммНоминальный рабочий объём - 306 куб.смНоминальное рабочее избыточное давление - 0,8 МПаМаксимальное рабочее избыточное давление - 1,25 МПаНоминальная частота вращения - 2000 об/минМаксимальная частота вращения - 2700 об/минНоминальная производительность - 0,373 куб.м/минМаксимальная производительность - 0,450 куб.м/минНоминальная потребляемая мощность - 3,8 КВт","Компрессор высокопроизводительный КамАЗ.Пневмокомпрессор 53205-3509015Особенности:Лепестковые клапана, неразъемный шатун, подшипники скольжения, шестеренчатый привод, жидкосное охлаждение.Число цилиндров, шт 1Диаметр цилиндра, мм 92Номинальный рабочий объем, см 3 306Избыточное давление, МПа 0,7Номин. частота вращения к/вала, об/мин -1 2000Максим. частота вращения к/вала, об/мин -1 3000Производительность, л/мин 373Масса, кг не более 11,0Применяемость:Для питания пневмосистем сжатым воздухом автомобилей КамАЗ",4000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/Kompressor-1-tsilindr-KAMAZ-1.jpg
19,5336-3509012,Компрессор 2-х цилиндровый  МАЗ со шкивом,"Ширина, м 0.2 Высота, м 0.3 Длина, м 0.32 Вес, кг 16Число цилиндров, шт – 2Диаметр цилиндра, мм – 60Объем цилиндра, см3 – 214Макс. частота вращения к/вала, об/мин – 2500Номин. частота вращения к/вала, об/мин – 2000Производительность, л/мин – 201 / 270Макс. избыточное давление, МПа – 1,0Ход поршня, мм – 38Масса, кг, не более – 15","Компрессор двухцилиндровый МАЗ, УРАЛХарактеристики: Компрессор МАЗ (2 цилиндровый) со шкивом 210л/мин БЗА №Артикул: 5336-3509012Ширина, м 0.2 Высота, м 0.3 Длина, м 0.32 Вес, кг 16Дополнительное описание: Предназначен для нагнетания сжатого воздуха в пневматическую систему привода тормозов грузовых автомобилей семейства МАЗ, БеЛАЗ, КрАЗ, УралАЗ, и устанавливается на дизельные двигатели ЯМЗ-236, ЯМЗ-238 и их модификации. На этом компрессоре применяется лепестковый клапан вместо традиционного пружинного, что позволило увеличить на порядок производительность компрессора.Число цилиндров, шт – 2Диаметр цилиндра, мм – 60Объем цилиндра, см3 – 214Макс. частота вращения к/вала, об/мин – 2500Номин. частота вращения к/вала, об/мин – 2000Производительность, л/мин – 201 / 270Макс. избыточное давление, МПа – 1,0Ход поршня, мм – 38Масса, кг, не более – 15",4700,"2, 4",https://deshevle-tut.ru/wp-content/uploads/2019/07/kompressor-MAZ.jpg
20,182/184-1601130,Диск сцепления ведомый ЯМЗ,"Ведущий/Ведомый диск.На вал диаметром 42 мм.Диаметр диска, мм - 420. 10 шлицев.Диаметр шлица,мм - 42х6.Вес, кг - 10","Диск сцепления ведомый МАЗ,УРАЛ,КРАЗ сцепление -182,183 Артикул - 182-1601130Применяется для сцепления 182,183 двигателей ЯМЗ-236 НЕ, 236 БЕ, 7601.10, ЯМЗ-236 ДК, ЯМЗ 238 АК, ЯМЗ-236 М2, 238 М2, ЯМЗ-238Д и Б, ЯМЗ-7511, ЯМЗ-238БЕ до 300 л.с.Ведущий/Ведомый диск.На вал диаметром 42 мм.Диаметр диска, мм - 420. 10 шлицев.Диаметр шлица,мм - 42х6.Вес, кг - 10",3200,"2, 4",https://deshevle-tut.ru/wp-content/uploads/2019/07/Disk-stsepleniya-1.jpg
21,238-1601130/31,"Диск сцепления ведомый универсальный ЯМЗ-238, 236","Характеристики: 	Наружный диаметр, мм - 400 	Размеры шлиц, мм - 34*42*6 	Высота ступицы, мм - 40 	Вес, кг - 6,8","Диск сцепления ведомый универсальный ЯМЗ-238, 236Артикул - 238-1601130Дополнительный артикул - 238-1601130-УАртикул аналога - 238-1601130-Б (передний)Диск сцепления ведомый универсальный. Диск собран на металлических заклепках, а не на болтах, что исключает подделку. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления. Диск ТА 2381601130 показал себя с хорошей стороны, надежностью конструкции, подтвержденную многочисленными испытаниями, а также лабораторными испытаниями НГТУ, о чем свидетельствует сертификат качества.Диск имеет округлую форму. Диск сцепления ведомый входит в состав узла сцепления. Он непосредственно связан с ведущими колесами автомобиля. Располагается между маховиком и площадкой транспортного средства. Диск состоит из основания, шлицевой муфты, фрикционных накладок, демпферных пружин. Последние расположены вокруг муфты и служат цели гашения вибраций. Данный диск можно ставить и на место переднего и на место заднего. Усиленный демпфер и закрытая конструкция пружин демпфера обеспечивает надежную работу и предохраняет от повреждения дорогостоящие детали муфты сцепления.Применение:Применяется в двухдисковой муфте сцепления двигателей ЯМЗ-238, ЯМЗ-236 любого года выпуска. Диск ТА 238-1601130 устроен так, что его можно ставить и на место переднего и на место заднего. 	МАЗ-500А 	МАЗ-503А 	МАЗ-504А 	МАЗ-54328 	МАЗ-5433 	МАЗ-5335 	МАЗ-504В 	МАЗ-5429 	МАЗ-5549 	ЛАЗ 5252 	ЯМЗ-236 М 	ЯМЗ-236 ДК и ЯМЗ 238 АК 	ЯМЗ-236 М2 и 238 М2 	ЯМЗ-236, -238, -238НБ 	ЯМЗ-238 М 	ЯМЗ-238 АМ 	ЯМЗ-238 ГМ 	ЯМЗ-238 ИМ 	ЯМЗ-238 НД 	ЯМЗ-238 Н 	ЯМЗ-238 Л 	ЯМЗ-238 ПМ и 238 ФМ 	ЯМЗ-236, -238, -238НБХарактеристики: 	Наружный диаметр, мм - 400 	Размеры шлиц, мм - 34*42*6 	Высота ступицы, мм - 40 	Вес, кг - 6,8",1650,2,https://deshevle-tut.ru/wp-content/uploads/2019/07/Disk-stsepleniya-1.jpg
22,453461.425-01,ГУР (Гидроусилитель руля) КАМАЗ  ШНКФ 453461.425-01,,"ШНКФ453461.420-10.""Конструкция рулевого механизма с гидроусилителем ШНКФ 453461.420 (интегрального типа) состоит из углового редуктора, гидравлического распределителя роторного типа и встроенного силового гидроцилиндра. Тип передачи: винт - шариковая гайка - поршень- рейка - цилиндрический зубчатый сектор. Предназначен для установки в систему рулевого управления автомобилей КАМАЗ-4308.""",47000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/GUR-SHNKF-speredi.jpg
23,C700VW717115 717-115,ГУР (Механизм рулевой) КАМАЗ-6522 C700 VW 717-115 (RBL),Механизм рулевой ГУР КАМАЗ-6522 C700 VW 717-115 (RBL).,Механизм рулевой ГУР КАМАЗ-6522 C700 VW 717-115 (RBL).,41000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/GUR-RBL.jpg
24,4310-3400020,ГУР (Гидроусилитель руля )КамАЗ 4310,Гидроусилитель руля (ГУР) КамАЗ 4310Артикул: 4310-3400020-01,Гидроусилитель руля (ГУР) КамАЗ 4310Артикул: 4310-3400020,14000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/GUR-4310-1.jpg
25,5320-3400020,ГУР (Гидроусилитель руля ) КамАЗ 5320,Гидроусилитель руля 5320 (ГУР)Артикул: 5320-3400020,"Гидроусилитель руля 5320 (ГУР)Артикул: 5320-3400020Также в наличие другие варианты ГУРа, в нашем магазине ""Дешевле Тут""",5000,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/GUR-5320-szadi.jpg
26,4310-3414009,Тяга рулевая продольная КамАЗ 4310 в сборе,"Тяга рулевая продольнаяПрименение: 	КАМАЗ-4350 (4х4) 	КаМАЗ-43501 (4х4) 	КАМАЗ-43261 (Евро-1, 2) 	Вес, кг -18, 5","Тяга продольная рулевая КАМАЗТяга рулевая - это цельнокованая деталь с нерегулируемыми шарнирами, которая соединяет сошку рулевого управления и рычаг поворотного кулака. Она с помощью шарниров связывается с рулевым рычагом. В состав рулевой тяги входит: шаровой палец, вкладыши (верхний и нижний), пружина, резьбовая крышка со стопорной шайбой. Рулевая тяга должна быть расположена таким образом, чтобы при любом движении колёс она была подвержена минимальным осевым перемещениям.&nbsp;Дополнительное описание - Тяга рулевая продольная КАМАЗПрименение: 	КАМАЗ-4350 (4х4) 	КаМАЗ-43501 (4х4) 	КАМАЗ-43261 (Евро-1, 2) 	Вес, кг -18, 5",2250,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_102238.jpg
27,6520-3414009,Тяга рулевая продольная КамАЗ 6520 в сборе,Тяга продольная КамАЗ 6520. Артикул: 6520-3414010,"Тяга продольная КамАЗ 6520. Артикул: 6520-3414010Также другие запасные части в нашем магазине ""Дешевле Тут""",3350,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_102202.jpg
28,5320-3401090,Сошка ГУРа КАМАЗ 5320,"Сошка гидроусилителя руля (ГУРа) 5320Также другие запасные части в нашем магазине ""Дешевле Тут""","Сошка гидроусилителя руля (ГУРа) 5320Также другие запасные части в нашем магазине ""Дешевле Тут""",200,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_102050.jpg
29,100-3519100.,Энергоаккумулятор тип 20 КАМАЗ ремонт,Энергоаккумулятор тип 20 КамАЗАртикул: 100-3519100,"Энергоаккумулятор тип 20 КамАЗАртикул: 100-3519100Он предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы.Как правило,энергоаккумулятормонтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Пружина может «развивать» усилие в 1-2 тонны, после чего посредством поршня и толкателя оказывает давление на шток привода тормозов. В момент, когда из подпоршневого пространства, при помощи крана управления «ручником», выходит сжатый воздух, который и удерживает пружину в сжатом состоянии, включается стояночный тормоз. Как только он сработал, сжатый воздух начинает поступать в подпоршневое пространство. Винт-ось предназначен для «ручного» отключения тормоза, которое выполняется через сжатие пружины стандартным, накидным ключом. Иногда такая необходимость может возникать при транспортировке машины, особенно если в ресивере, из-за неисправности мотора или компрессора, а также в случае утраты герметичности пневмосистемы, отсутствует сжатый воздух.",1500,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190703_100154.jpg
