"Номер по каталогу","Наименование","Ед. изм.","Цена руб","Количество","Сумма, руб"
"72.3709-01","Амортизатор подвески ПАЗ-3205 (G-Part)","шт","1,589.00","","0.00"
"A-29","Антенна активная внутрисалонная А-29 (AM/FM/УКВ) ""Орион НПП""","шт","388.00","","0.00"
"","Антифриз для пневмотормозов (520мл) (АГАТ)","шт","264.00","","0.00"
"KR-358","Антифриз для пневмотормозов (650мл) (KERRY)","шт","218.00","","0.00"
"АЦ 05400170","Антифриз желтый FELIX ENERGY G12+ (1кг)","шт","200.00","","0.00"
"АЦ 05400169","Антифриз желтый FELIX ENERGY G12+ (5кг)","шт","796.00","","0.00"
"АЦ 05400160","Антифриз зеленый FELIX PROLONGER G11 (10кг)","шт","1,391.00","","0.00"
"","Антифриз зеленый FELIX PROLONGER G11 (1кг)","шт","180.00","","0.00"
"","Антифриз зеленый FELIX PROLONGER G11 (5кг)","шт","708.00","","0.00"
"АЦ 05400231","Антифриз зеленый X-FREEZE 11 (1кг) (СИНТЕЗ-ПАК)","шт","143.00","","0.00"
"АЦ 05400351","Антифриз зеленый X-FREEZE 11 (5кг) (СИНТЕЗ-ПАК)","шт","503.00","","0.00"
"","Антифриз красный AGA-Z40 (10л)","шт","1,611.00","","0.00"
"АЦ 01700170","Антифриз красный AGA-Z40 (1л)","шт","237.00","","0.00"
"АЦ 01700162","Антифриз красный AGA-Z40 (5л)","шт","854.00","","0.00"
"АЦ 05400159","Антифриз красный FELIX CARBOX-40 G12 (10кг)","шт","1,458.00","","0.00"
"","Антифриз красный FELIX CARBOX-40 G12 (1кг)","шт","189.00","","0.00"
"АЦ 05400157","Антифриз красный FELIX CARBOX-40 G12 (5кг)","шт","763.00","","0.00"
"АЦ 05400225","Антифриз красный X-FREEZE 12 (1кг) (СИНТЕЗ-ПАК)","шт","143.00","","0.00"
"АЦ 05400352","Антифриз красный X-FREEZE 12 (5кг) (СИНТЕЗ-ПАК)","шт","503.00","","0.00"
"АЦ 05400335","Антифриз красный Полярник (10кг)","шт","718.00","","0.00"
"АЦ 05400336","Антифриз красный Полярник (5кг)","шт","369.00","","0.00"
"","Антифрик. кондиционер металла ER 5 148 мл.","шт","815.00","","0.00"
"","Антифрик. кондиционер металла ER 8 240 мл.","шт","1,005.00","","0.00"
"AM-02","Аптечка автомобильная в пластиковом футляре (Соответствует требованиям ГИБДД) (AM-02) (AIRLINE)","шт","456.00","","0.00"
"AM-01","Аптечка автомобильная в текстильном футляре (Соответствует требованиям ГИБДД) (AM-01) (AIRLINE)","шт","455.00","","0.00"
"AM-03","Аптечка первой помощи автомобильная ""СПАС"",пластиковый футляр (AM-03) (AIRLINE)","шт","190.00","","0.00"
"AM-04","Аптечка первой помощи в дорогу,пластиковый футляр (AM-04) (AIRLINE)","шт","201.00","","0.00"
"AR-01","Ареометр для электролита и тосола в футляре VETTLER AR-01","шт","205.00","","0.00"
"3205-5402195-01","Арка колеса ПАЗ наружная металл (ПАЗ)","шт","1,373.00","","0.00"
"3205-5402195","Арка колеса ПАЗ наружная пласт (ТЕХНОРЕСУРС/ПАЗ)","шт","301.00","","0.00"
"413-8403027","Арка переднего крыла ГАЗон Next (C41RB3) левая (ГАЗ)","шт","8,014.00","","0.00"
"413-8403026","Арка переднего крыла ГАЗон Next (C41RB3) правая (ГАЗ)","шт","7,897.00","","0.00"
"4111-8403026","Арка переднего крыла ГАЗон Next правая (Пластик/ГАЗ)","шт","825.00","","0.00"
"","Ароматизатор ""AREON"" Елочка,Картинка","шт","60.00","","0.00"
"","Ароматизатор AURAMI A-13 ""Ваниль""","шт","510.00","","0.00"
"AF-A02-KC","Ароматизатор банка ""Арктика"" кинг кар (оранжевый) (AF-A02-KC) (AIRLINE)","шт","352.00","","0.00"
"AFPL014","Ароматизатор на панель пластик ""Подводная лодка"" морской сквош (AFPL014) (AIRLINE)","шт","150.00","","0.00"
"AFPL013","Ароматизатор на панель пластик ""Подводная лодка"" черный лед (AFPL013) (AIRLINE)","шт","150.00","","0.00"
"AFIS009","Ароматизатор подвесной пластик ""Истребитель"" французская ваниль (AFIS009) (AIRLINE)","шт","108.00","","0.00"
"AFIS007","Ароматизатор подвесной пластик ""Истребитель"" черный лед (AFIS007) (AIRLINE)","шт","108.00","","0.00"
"AFSA010","Ароматизатор подвесной пластик ""Самолет"" пина колада (AFSA010) (AIRLINE)","шт","121.00","","0.00"
"AFSA011","Ароматизатор подвесной пластик ""Самолет"" сочное яблоко (AFSA011) (AIRLINE)","шт","121.00","","0.00"
"ACH-AUX-22","Аудиокабель AUX для подключения к авто магнитоле (ACH-AUX-22) (AIRLINE)","шт","239.00","","0.00"
"","Багажник ГАЗ 2217 (2секции)","шт","5,972.00","","0.00"
"2705-1101010","Бак топливный 2705, 3221 ГАЗ (лев.горловина) дв.4063, 4026, 4215, 560 ГАЗ","шт","6,386.00","","0.00"
"3221-30-1101010","Бак топливный 2705,3221 дв. 4026,4063,560,4215,4216,42164,40522,40524, Cummins 2.8, А274, А275","шт","6,785.00","","0.00"
"2752-1101006-70","Бак топливный 2752, 2217 дв. 4216, 40524, Chrysler 2,4 L DOHC","шт","7,343.00","","0.00"
"3221-30-1101006-50","Бак топливный 3221, 2705 дв. 4216, 40524, Крайслер ГАЗ","шт","8,750.00","","0.00"
"3302-30-1101010","Бак топливный 3302 борт (68 л.) ГАЗ (прав.горловина) дв. 4063, 40522, 560","шт","7,096.00","","0.00"
"3302-1101010-30","Бак топливный 3302 под погружной насос УМЗ-4216 Евро-3,4, А274, А275, 40524, А3055 Е-5 ГАЗ","шт","6,915.00","","0.00"
"66-1101010","Бак топливный 3310 105 лит. Тип L (300х460х850) крышка откидная, (горловина справа), без комп(Бакор)","шт","6,687.00","","0.00"
"4301-1101010-02","Бак топливный 3310 105 лит. Тип L (300х460х850) крышка откидная, без комплектующих (Бакор)","шт","6,405.00","","0.00"
"3310-40-1101010","Бак топливный 3310,3307,4301,ГАЗон Next (105л) узкая горловина","шт","7,939.00","","0.00"
"3308-10-1101010","Бак топливный 3310,3307,4301,ПАЗ (105л) (антигравий) широкая горловина (ГАЗ)","шт","8,228.00","","0.00"
"К11-1101010","Бак топливный 3310,ГАЗон Next 200 л. Тип I (315х560х1200) крышка резьбовая, с комплектующими (Бакор)","шт","9,188.00","","0.00"
"3302-1101006-60","Бак топливный ГАЗель Бизнес, ГАЗель Next дв.Cummins ISF 2.8 (прав.горловина) (ГАЗ)","шт","8,176.00","","0.00"
"","Бак топливный Газель Инжектор 100 л. Тип K (243х383х1170) крышка резьбовая, без комплектующи (Бакор)","шт","7,384.00","","0.00"
"","Бак топливный Газель Инжектор 140 л. Тип К (243х383х1640) крышка резьбовая, без комплектующи (Бакор)","шт","8,310.00","","0.00"
"","Бак топливный Газель-2705-1101010 70л. (235х380х830) голый (Карбюратор) (цельнометал) (Бакор)","шт","4,668.00","","0.00"
"","Бак топливный Газель-2752 СОБОЛЬ Карбюратор 70 л. Тип К (235х380х380) без комплектующих (Бакор)","шт","5,768.00","","0.00"
"","Бак топливный Газель-3302-20 120л. (235х380х1420) голый крышка полуоборот (Инжектор) (Бакор)","шт","7,258.00","","0.00"
"3302-30-1101010","Бак топливный Газель-33023 Карбюратор 70 л. Тип K (235х380х830) крышка полуоборотная, без ко (Бакор)","шт","5,768.00","","0.00"
"3302-1101010-20","Бак топливный ЭКОНОМ Газель-3302-20 Инжектор 70 л. Тип K (235х380х830) крышка резьбовая, без (Бакор)","шт","3,982.00","","0.00"
"3302-30-1101010","Бак топливный ЭКОНОМ Газель-33023 Карбюратор 70 л. Тип K (235х380х830) крышка полуоборотная, (Бакор)","шт","4,029.00","","0.00"
"3205-1101116-10","Балка крепления топливного бака ПАЗ 3205","шт","298.00","","0.00"
"3302-3001010-01","Балка передней оси 3302,2705 (ГАЗ)","шт","10,457.00","","0.00"
"53-3001010-01","Балка передней оси 3307 (ГАЗ)","шт","11,592.00","","0.00"
"3309-3001009-02","Балка передней оси 3309 с пластинами под стабилизатор передней подвески (ГАЗ)","шт","12,522.00","","0.00"
"3310-40-3001010-01","Балка передней оси 3310 Валдай (ГАЗ)","шт","16,919.00","","0.00"
"3307-3513015","Баллон вакуумный (рессивер) 3307","шт","2,744.00","","0.00"
"4301-3513040","Баллон воздушный (рессивер) 3310 Валдай (большой)","шт","3,487.00","","0.00"
"3310-3513015","Баллон воздушный (рессивер) 3310 Валдай (малый) (ГАЗ)","шт","2,789.00","","0.00"
"66-3513015","Баллон воздушный (рессивер) 66, 3308, 3310 (средний)","шт","1,355.00","","0.00"
"3205-00-3513015-000","Баллон воздушный (рессивер) большой  на дверь (2 отв )","шт","1,440.00","","0.00"
"3205-3513015-20","Баллон воздушный (рессивер) большой  на тормоза (4 отв)","шт","1,925.00","","0.00"
"66-11-3513015","Баллон воздушный 66,3308,33081,Валдай ГАЗ","шт","1,374.00","","0.00"
"2705-50-2804012","Бампер 2705 зад пуст","шт","1,030.00","","0.00"
"2705-2804012-30","Бампер 2705 зад пуст нов обр","шт","1,967.00","","0.00"
"3205-2804014","Бампер 3205 ПАЗ зад пласт АБС (серый) (ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ТЕХНОРЕСУРС/ПАЗ)","шт","1,169.00","","0.00"
"3205-2803012","Бампер 3205 ПАЗ пер пласт АБС (серый) (ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ТЕХНОРЕСУРС/ПАЗ)","шт","1,145.00","","0.00"
"3302-2803015-20","Бампер 3302 ""Газель Бизнес"" без решетки (Пластик/ГАЗ)","шт","1,929.00","","0.00"
"3302-2803012-20","Бампер 3302 ""Газель Бизнес"" с решеткой (Пластик/ГАЗ)","шт","2,840.00","","0.00"
"3302-2803012-20","Бампер 3302 ""Газель Бизнес"" с решеткой (ТехноПласт)","шт","2,043.00","","0.00"
"00000001279","Бампер 3302 н/о (завод) коммерс ""AFP"" 015","шт","1,755.00","","0.00"
"3302-2803015","Бампер 3302 стар обр черный","шт","2,324.00","","0.00"
"3310-40-2803112-10","Бампер 3310 Валдай (основание) средняя часть (ГАЗ)","шт","3,515.00","","0.00"
"3310-40-2803012","Бампер 33104 Валдай пер в сб (ГАЗ)","шт","4,300.00","","0.00"
"А0000001754","Бампер ГАЗель Next (белый) с черной решеткой ""AFP"" 101","шт","5,863.00","","0.00"
"2123-2803012-10","Бампер Газель Next в сб с отв. под ПТФ","шт","6,102.00","","0.00"
"2123-2803122","Бампер Газель Next пер нижн. часть","шт","804.00","","0.00"
"2123-2803015","Бампер Газель Next средняя часть","шт","3,384.00","","0.00"
"А0000001752","Бампер ГАЗель Next шторм грей (серый) ""AFP"" 101","шт","5,473.00","","0.00"
"4111-2803010","Бампер ГАЗон Next пер сред. часть (ГАЗ)","шт","7,228.00","","0.00"
"3307-2803010","Бампер передний 3307","шт","5,200.00","","0.00"
"C41RB3-2803010","Бампер передний ГАЗон Next C41RB3","шт","7,771.00","","0.00"
"51-3507052-42","Барабан стояночного тормоза (ручн) 53","шт","1,325.00","","0.00"
"3301-3507052","Барабан стояночного тормоза (ручн) 66,3308","шт","2,914.00","","0.00"
"2217-3502070","Барабан тормозной 2217","шт","3,019.00","","0.00"
"3302-3502070-01","Барабан тормозной 3302 (в/з 3302-3502070) (ГАЗ)","шт","2,674.00","","0.00"
"3307-3502070","Барабан тормозной 3307 зад","шт","4,943.00","","0.00"
"3307-3501070","Барабан тормозной 3307 пер, 66 (с 1985г) (ГАЗ)","шт","5,485.00","","0.00"
"3205-3501070","Барабан тормозной ПАЗ 3205 пер ","шт","4,939.00","","0.00"
"224-3502070","Барабан тормозной ПАЗ 32053.4234 зад 8 шпилек ","шт","8,646.00","","0.00"
"23-3502070-10","Барабан тормозной ПАЗ-3204 перед/зад (6шп на диск19,5) d-165 мм (Канаш) (КААЗ)","шт","4,323.00","","0.00"
"23-3502070","Барабан тормозной ПАЗ-32053 зад (6шп) d-160 мм (Канаш) (КААЗ)","шт","4,323.00","","0.00"
"9V-01","Батарейка 6LR61/Крона 9V щелочная 1шт (9V-01) (AIRLINE)","шт","178.00","","0.00"
"AG10-10","Батарейка AG10/LR1130 щелочная 10шт (AG10-10) (AIRLINE)","шт","63.00","","0.00"
"AG13-10","Батарейка AG13/LR44 щелочная 10шт (AG13-10) (AIRLINE)","шт","85.00","","0.00"
"CR2016-01","Батарейка CR2016 3V для брелоков сигнализаций литиевая 1шт (CR2016-01) (AIRLINE)","шт","28.00","","0.00"
"CR2025-01","Батарейка CR2025 3V для брелоков сигнализаций литиевая 1шт (CR2025-01) (AIRLINE)","шт","40.00","","0.00"
"AA-13-02","Батарейки AA HR6 аккумулятор Ni-Mh 1300 mAh 2шт (AA-13-02) (AIRLINE)","шт","264.00","","0.00"
"AA-26-02","Батарейки AA HR6 аккумулятор Ni-Mh 2600 mAh 2шт (AA-26-02) (AIRLINE)","шт","415.00","","0.00"
"AAA-12-02","Батарейки AAA HR03 аккумулятор Ni-Mh 1200 mAh 2шт (AAA-12-02) (AIRLINE)","шт","287.00","","0.00"
"AAA-12","Батарейки LR03/AAA щелочные 12шт (AAA-12) (AIRLINE)","шт","276.00","","0.00"
"C-02","Батарейки LR14/С щелочные 2шт (C-02) (AIRLINE)","шт","153.00","","0.00"
"AA-12","Батарейки LR6/AA щелочные 12шт (AA-12) (AIRLINE)","шт","224.00","","0.00"
"AA-04","Батарейки LR6/AA щелочные 4шт (AA-04) (AIRLINE)","шт","98.00","","0.00"
"66-11-3505103-01","Бачок ГТЦ 3307","шт","115.00","","0.00"
"52-04-3505108","Бачок ГТЦ 4301 гол","шт","151.00","","0.00"
"3102-90-3505100","Бачок ГТЦ Волга (Autocomponent)","шт","117.00","","0.00"
"3205-3505108","Бачок ГТЦ ПАЗ двухсекционный без крышки","шт","202.00","","0.00"
"7672472-209","Бачок ГУР 3302 дв.4216","шт","660.00","","0.00"
"3110-3407178-11","Бачок ГУР 3302,2705,3310 Валдай (Дзержинская производственная компания/Россия)","шт","234.00","","0.00"
"2122-3410015-02","Бачок ГУР ГАЗель Next,ВАЗ-2110,2123","шт","850.00","","0.00"
"4111-3410015","Бачок ГУР ГАЗон Next","шт","2,250.00","","0.00"
"1132-5208010-04","Бачок омывателя 2108-099,УАЗ-3160 в сб","шт","513.00","","0.00"
"1122-5208010-02","Бачок омывателя 3102,3302,2705,ПАЗ в сб (ПРАМО)","шт","390.00","","0.00"
"3302-5208010-10","Бачок омывателя 3302 Газель-Бизнес в сб (в крыло)","шт","1,205.00","","0.00"
"2123-5208010","Бачок омывателя Газель Next в сб (ГАЗ)","шт","957.00","","0.00"
"1112.5208000","Бачок омывателя Камаз,ЗИЛ,МАЗ,Краз,Лиаз (24V) в сб ","шт","432.00","","0.00"
"24-10-1311009","Бачок расширительный 2410,31029 со шлангом (ГАЗ)","шт","355.00","","0.00"
"2705-1311010-10","Бачок расширительный 2705 (под крепление) (ГАЗель Next,Бизнес дв.4216 с 01.12.14) (ZOMMER)","шт","524.00","","0.00"
"2705-1311010-10","Бачок расширительный 2705 (под крепление) (ДПК/Россия)","шт","725.00","","0.00"
"2705-1311010","Бачок расширительный 2705 нов обр (Autocomponent)","шт","627.00","","0.00"
"3302-30-1311010-10","Бачок расширительный 3302 дв.274 Е-4, 3309 (дв.245 Е-4,Камминз Е-4)","шт","730.00","","0.00"
"3302-30-1311010","Бачок расширительный 3302 дв.274 Е-4, 3309 (дв.245 Е-4,Камминз Е-4)","шт","600.00","","0.00"
"3302-1311010-10","Бачок расширительный 3302 с/о","шт","434.00","","0.00"
"2122-1311010","Бачок расширительный Газель Next","шт","497.00","","0.00"
"406-1006090-11","Башмак натяжителя 406 дв. (TSN)","шт","98.00","","0.00"
"406-1006004-55","Башмак натяжителя 406 дв. класс ""Профессионал"" ГАЗ (к-т 2 шт.)(ДМ.406.1006004-ПР)","шт","320.00","","0.00"
"AJ-U-01","Башмак противооткатный,пластиковый (AJ-U-01) (AIRLINE)","шт","58.00","","0.00"
"Р4-0-706.020-00","Бегунок 53 конт ","шт","54.00","","0.00"
"19.3706.20-01","Бегунок Волга б/конт с резистором ","шт","61.00","","0.00"
"Р119-Б-3706.20","Бегунок Волга,УАЗ конт  ","шт","37.00","","0.00"
"Р4-3706 020","Бегунок контактный ГАЗ-53, ПАЗ, ЗИЛ","шт","40.00","","0.00"
"50-1139-01","Бензонасос 3110 дв.406 эл (СОАТЭ)","шт","2,518.00","","0.00"
"3110-0001139","Бензонасос 3110 погружн эл. BOSCH ""УТЕС""","шт","3,143.00","","0.00"
"3110-1139000-555","Бензонасос 31105 погружн дв.406 (ГАЗ)","шт","2,710.00","","0.00"
"901-1106010-21","Бензонасос 3302 дв.406 (ЗМЗ)","шт","1,359.00","","0.00"
"901-1106010-21","Бензонасос 3302 дв.406 (Пекар)","шт","1,353.00","","0.00"
"505-1139-10","Бензонасос 3302,2217 погружн дв.405 Е-2 эл быстросъем (мотор BOSCH) (СОАТЭ)","шт","5,110.00","","0.00"
"505-1139-10","Бензонасос 3302,2217 погружн дв.405 Е-2 эл быстросъем (ПЕКАР)","шт","3,455.00","","0.00"
"505-1139-12","Бензонасос 3302,2217 погружн дв.405 Е-2 эл быстросъем (СОАТЭ)","шт","3,589.00","","0.00"
"505-1139","Бензонасос 3302,2217 погружн дв.405 эл (СОАТЭ)","шт","3,035.00","","0.00"
"405-1139000-299","Бензонасос 3302,2217 погружн дв.405 эл быстросъем (G-part)","шт","3,041.00","","0.00"
"505-1139-01","Бензонасос 3302,2217 погружн дв.405 эл мотор BOSCH (СОАТЭ)","шт","3,701.00","","0.00"
"505-1139-02","Бензонасос 3302,2217 погружн дв.405,406 Евро 2 резьба (СОАТЭ) ","шт","2,367.00","","0.00"
"515-1139","Бензонасос 3302,2217 погружн дв.4216 Е-3 (ГАЗ)","шт","3,963.00","","0.00"
"515-1139","Бензонасос 3302,2217 погружн дв.4216 Е-3 (СОАТЭ)","шт","4,824.00","","0.00"
"515-1139-10","Бензонасос 3302,2217 погружн дв.Крайслер,ЗМЗ,УМЗ Е-3 (в/з 3302-1139009) (АТЭ-1)","шт","1,418.00","","0.00"
"515-1139-12","Бензонасос 3302,2217 погружн дв.Крайслер,ЗМЗ,УМЗ Е-3 (мотор 62-1139) (СОАТЭ)","шт","3,460.00","","0.00"
"515-1139-10","Бензонасос 3302,2217 погружн дв.Крайслер,ЗМЗ,УМЗ Е-3 (мотор Bosch) (СОАТЭ)","шт","5,603.00","","0.00"
"901-1106010-01","Бензонасос 3302,3110 дв.402 (Пекар)","шт","1,324.00","","0.00"
"902-1106010-01","Бензонасос 53 (Пекар)","шт","1,455.00","","0.00"
"53-1106010","Бензонасос 53 (Шанс Плюс)","шт","926.00","","0.00"
"2133-1139010","Бензонасос ГАЗель Next, Бизнес дв.274 Е-4 погружн (NEXT A21R33) жел.бак","шт","4,715.00","","0.00"
"3133-1139010","Бензонасос ГАЗель Next, Бизнес фургон дв.274 Е-4 погружн (NEXT A31R33) пласт.бак (СОАТЭ)","шт","4,938.00","","0.00"
"900-1106010-01","Бензонасос УАЗ (Пекар)","шт","1,395.00","","0.00"
"53-02-17","Блок выключателей ПАЗ (5-и клавишный)","шт","746.00","","0.00"
"5102,3771,320","Блок выпрям.БПВ 26-80/02р (ген.2502.3701) (РБ)","шт","1,034.00","","0.00"
"5102.3771.320-01","Блок выпрям.БПВ 76-105-13р Ваз2110, ГАЗ 3110 90А г3202.3701","шт","861.00","","0.00"
"3302-1602408","Блок педалей тормоза и сцепления 3302 с кроншт в сб","шт","2,497.00","","0.00"
"3307-1602408","Блок педалей тормоза и сцепления 3307 с кроншт в сб","шт","2,450.00","","0.00"
"2123-1602408","Блок педали сцепления ГАЗель Next с кроншт в сб","шт","3,047.00","","0.00"
"6742-1602408","Блок педали сцепления ГАЗель Next с кроншт в сб А67R42","шт","3,230.00","","0.00"
"354-3769","Блок переключателей 3302,2705 (АВАР)","шт","626.00","","0.00"
"121-3722000  ","Блок предохранителей 31029,3302,ВАЗ,УАЗ в сб","шт","394.00","","0.00"
"54-811   ","Блок предохранителей БПР-13 3110,31105 (ГАЗ)","шт","416.00","","0.00"
"5-3722005     ","Блок предохранителей БПР-2М (40/60) 3308, ГАЗ-560","шт","153.00","","0.00"
"5-3722005-07","Блок предохранителей БПР-2М5 (60/90) ""Газель-Бизнес""","шт","176.00","","0.00"
"5-3722001     ","Блок предохранителей БПР-4 3310","шт","230.00","","0.00"
"5-3722001-15","Блок предохранителей БПР-4.07 3309 ЕВРО-3","шт","266.00","","0.00"
"5-3722001-18     ","Блок предохранителей БПР-4.10 ГАЗель,Валдай,дв.Камминз","шт","292.00","","0.00"
"5-3722001-22","Блок предохранителей БПР-4.14 ГАЗон Next (Завод Копир/ГАЗ)","шт","292.00","","0.00"
"111-3722000     ","Блок предохранителей ПР-111 (30/60)","шт","170.00","","0.00"
"73-1301005","Блок радиаторов охлаж 3302 Газель Бизнес дв.Cummins (ТРМ/ГАЗ)","шт","16,679.00","","0.00"
"4113-1301005-30","Блок радиаторов охлаж ГАЗон Next дв.ЯМЗ-5344 (в/з 4113-1301005-31) (ТРМ/ГАЗ)","шт","23,054.00","","0.00"
"81215-05","Блок регулирования скорости вентилятора отопителя 3302 н/о","шт","566.00","","0.00"
"41-4224023","Блок сальников пов кулаков и зад моста 3308 метал","шт","1,017.00","","0.00"
"231-3769","Блок управления корректором фар 31105,3302 нов обр (АВАР)","шт","365.00","","0.00"
"46-8324044","Блок управления корректором фар 3302 ст обр","шт","470.00","","0.00"
"1601","Блок управления корректором фар 3308","шт","661.00","","0.00"
"821-3763000-02","Блок управления МИКАС 11 3302 дв.40522 ""НПП Элкар"" №133","шт","9,860.00","","0.00"
"3310-8109010-20","Блок управления отопителем 3310,3302 нов. панель 3-х местн.(ГАЗ)","шт","6,092.00","","0.00"
"79-3763000","Блок управления свечами 3310 Валдай","шт","1,600.00","","0.00"
"3122-3867100","Блок управления системой блокировки дверей ГАЗель Next в/з A31R22.3867100 ГАЗ","шт","1,323.00","","0.00"
"4111-3867100","Блок управления системой блокировки дверей ГАЗель Next, ГАЗон Next ГАЗ","шт","653.00","","0.00"
"","Блок управления стеклоочистителем ПАЗ (БУС-01)","шт","2,700.00","","0.00"
"5256400 / 5289698 …","Блок цилиндров ISF3.8 (на ГАЗ, ПАЗ)","шт","60,913.00","","0.00"
"42164-1002009-11","Блок цилиндров дв. 4216-41,4216-70, 42164, 42167-11, 421647-85 (ОАО ""УМЗ"") ГАЗ №, с/н L0330009","шт","57,820.00","","0.00"
"52-1701080-22     ","Блок шестерен КПП 53 заднего хода (ГАЗ)","шт","1,353.00","","0.00"
"66-11-1701082","Блок шестерен КПП 66,3307 заднего хода (больш отверст)","шт","1,908.00","","0.00"
"53-12-1701306     ","Блок шестерен пром вала КПП 53 (НИЖЕГОРОДСКИЕ МОТОРЫ/ГАЗ)","шт","6,899.00","","0.00"
